,symbol,marketCap,trailingPE,priceToBook,profitMargins,revenue,grossProfits,totalAssets,totalLiab,totalCash
0,MMM,52994813952,,11.342949,-0.22594,,15000000000,,,5213000192
1,AOS,11304207360,37.81592,6.005373,0.07872,,1329600000,,,341800000
2,ABT,178588499968,34.989796,4.764706,0.12918,,24579000000,,,7047000064
3,ABBV,244827422720,37.99178,20.243795,0.118140005,,41527000000,,,13290000384
4,ACN,209817206784,31.04461,8.168236,0.10718001,,20731607000,,,9049607168
5,ADM,39630209024,10.333797,1.5756549,0.04063,,7570000000,,,1498000000
6,ADBE,282026475520,55.55426,17.90467,0.27115,,15441000000,,,7516000256
7,ADP,94871609344,27.394299,27.345583,0.19075,,8510000000,,,1456300032
8,AES,11336818688,,5.839945,-0.04389,,2548000000,,,2303000064
9,AFL,48468480000,11.361644,2.147314,0.22721,,8080000000,,,7790000128
10,A,37047369728,33.1466,6.328152,0.18146999,,3722000000,,,1590000000
11,ABNB,82275672064,15.616787,8.9913845,0.56869,,6900000000,,,10961999872
12,APD,60996096000,26.676386,4.26143,0.18256001,,3360100000,,,1962200064
13,AKAM,17142056960,34.33535,3.9675336,0.13758999,,2237817000,,,939262016
14,ALK,4763571712,18.507463,1.1553512,0.025020001,,2357000000,,,2451000064
15,ALB,15123280896,4.5682383,1.5279275,0.33633,,3077787000,,,1601667968
16,ARE,18277654528,76.21739,0.9812025,0.08801,,1806454000,,,532390016
17,ALGN,16809776128,46.5,4.4202766,0.0953,,2636675000,,,1283805056
18,ALLE,9221209088,16.620253,7.484147,0.15411,,1322400000,,,364300000
19,LNT,12695155712,18.223444,1.8874725,0.16707,,1709000000,,,206000000
20,ALL,35749060608,,2.8424294,-0.03534,,6443000000,,,4228999936
21,GOOGL,1719573938176,26.185825,6.274501,0.22459,,156633000000,,,119935000576
22,GOOG,1719567384576,26.478928,6.3447328,0.22459,,156633000000,,,119935000576
23,MO,73345916928,8.463265,,0.42605,,14183000000,,,1536999936
24,AMZN,1516411289600,76.82723,8.284311,0.03624,,225152000000,,,64169000960
25,AMCR,13528382464,14.181817,3.467951,0.06711,,2725000000,,,537000000
26,AMD,197591810048,1111.909,3.5934424,0.0094099995,,12051000000,,,5784999936
27,AEE,20291465216,17.498867,1.8371621,0.15145999,,3343000000,,,8000000
28,AAL,8045089792,5.1506276,,0.030350002,,11443000000,,,10581999616
29,AEP,41281265664,18.004587,1.630288,0.11699,,8414100000,,,564300032
30,AXP,119820410880,15.409559,4.386756,0.14735,,28776000000,,,44073000960
31,AIG,45780029440,11.32118,1.1631972,0.082770005,,24968000000,,,15038000128
32,AMT,92916006912,133.77182,20.49563,0.0646,,7447300000,,,2118899968
33,AWK,25712740352,27.228867,2.5980208,0.2226,,2203000000,,,700000000
34,AMP,35562299392,16.952244,9.314321,0.14291,,7844000000,,,7266999808
35,AME,36046188544,28.344826,4.32081,0.19677,,2145269000,,,841900992
36,AMGN,142068350976,18.867092,18.553257,0.28197,,19917000000,,,34740998144
37,APH,54063292416,29.148388,6.880902,0.1541,,4028200000,,,1734000000
38,ADI,91216379904,24.870924,2.55421,0.26936,,7803870000,,,958060992
39,ANSS,25879406592,53.772564,5.166762,0.22399999,,1884284000,,,639513024
40,AON,66075283456,25.058466,,0.20737,,5823000000,,,868000000
41,APA,11311797248,7.361277,10.495163,0.18070999,,7636000000,,,95000000
42,AAPL,2954565517312,30.939741,47.528145,0.25305998,,170782000000,,,61554999296
43,AMAT,125764517888,18.560492,7.687666,0.25855,,11993000000,,,6869000192
44,APTV,23508662272,10.349938,2.1809068,0.11542,,2646000000,,,1808000000
45,ACGL,32316694528,11.174193,2.229373,0.23319,,2847711000,,,2553999872
46,ANET,67941130240,36.33777,10.439293,0.33971,,2675696000,,,4455603200
47,AJG,54608211968,48.545105,5.2186112,0.123430006,,3643900000,,,1116000000
