Date,2633.T,1545.T,2647.T,1326.T,1671.T,1695.T,1473.T
2011-01-04,,1855.0,,11370.0,5570.0,216.0,
2011-01-05,,1850.0,,11100.0,5530.0,211.0,
2011-01-06,,1892.0,,11180.0,5550.0,218.0,
2011-01-07,,1905.0,,11160.0,5450.0,216.0,
2011-01-11,,1903.0,,11150.0,5480.0,210.0,
2011-01-12,,1914.0,,11230.0,5560.0,208.0,
2011-01-13,,1923.0,,11250.0,5570.0,211.0,
2011-01-14,,1908.0,,11110.0,5560.0,213.0,
2011-01-17,,1926.0,,11040.0,5550.0,219.0,
2011-01-18,,1899.0,,11010.0,5530.0,222.0,
2011-01-19,,1925.0,,11040.0,5530.0,228.0,
2011-01-20,,1894.0,,10990.0,5510.0,226.0,
2011-01-21,,1893.0,,10890.0,5410.0,220.0,
2011-01-24,,1888.0,,10930.0,5400.0,222.0,
2011-01-25,,1905.0,,10730.0,5340.0,233.0,
2011-01-26,,1898.0,,10690.0,5260.0,227.0,
2011-01-27,,1917.0,,10800.0,5300.0,231.0,
2011-01-28,,1921.0,,10590.0,5270.0,229.0,
2011-01-31,,1865.0,,10670.0,5440.0,224.0,
2011-02-01,,1880.0,,10700.0,5550.0,225.0,
2011-02-02,,1899.0,,10670.0,5470.0,227.0,
2011-02-03,,1893.0,,10610.0,5550.0,231.0,
2011-02-04,,1900.0,,10760.0,5520.0,230.0,
2011-02-07,,1925.0,,10820.0,5480.0,233.0,
2011-02-08,,1933.0,,10860.0,5380.0,231.0,
2011-02-09,,1946.0,,10980.0,5380.0,239.0,
2011-02-10,,1943.0,,10980.0,5390.0,237.0,
2011-02-14,,1983.0,,11030.0,5280.0,240.0,
2011-02-15,,1996.0,,11120.0,5270.0,238.0,
2011-02-16,,2006.0,,11230.0,5330.0,232.0,
2011-02-17,,2005.0,,11240.0,5280.0,231.0,
2011-02-18,,2003.0,,11260.0,5290.0,232.0,
2011-02-21,,1992.0,,11320.0,5400.0,227.0,
2011-02-22,,1977.0,,11400.0,5670.0,225.0,
2011-02-23,,1925.0,,11280.0,5590.0,208.0,
2011-02-24,,1900.0,,11290.0,5790.0,207.0,
2011-02-25,,1905.0,,11260.0,5680.0,206.0,
2011-02-28,,1923.0,,11260.0,5740.0,211.0,
2011-03-01,,1947.0,,11340.0,5640.0,212.0,
2011-03-02,,1901.0,,11440.0,5790.0,208.0,
2011-03-03,,1918.0,,11430.0,5820.0,210.0,
2011-03-04,,1965.0,,11390.0,5920.0,215.0,
2011-03-07,,1939.0,,11540.0,6150.0,214.0,
2011-03-08,,1925.0,,11490.0,6120.0,206.0,
2011-03-09,,1925.0,,11520.0,6120.0,206.0,
2011-03-10,,1912.0,,11550.0,6120.0,200.0,
2011-03-11,,1901.0,,11440.0,5930.0,194.0,
2011-03-14,,1890.0,,11410.0,5730.0,187.0,
2011-03-15,,1841.0,,11260.0,5690.0,185.0,
2011-03-16,,1841.0,,11030.0,5470.0,175.0,
2011-03-17,,1763.0,,10780.0,5460.0,168.0,
2011-03-18,,1839.0,,11250.0,5870.0,193.0,
2011-03-22,,1830.0,,11280.0,5840.0,184.0,
2011-03-23,,1826.0,,11260.0,5980.0,187.0,
2011-03-24,,1842.0,,11370.0,5940.0,183.0,
2011-03-25,,1885.0,,11330.0,5960.0,188.0,
2011-03-28,,1907.0,,11360.0,5970.0,190.0,
2011-03-29,,1893.0,,11310.0,5890.0,188.0,
2011-03-30,,1944.0,,11480.0,5950.0,192.0,
2011-03-31,,1942.0,,11510.0,5950.0,190.0,
2011-04-01,,1965.0,,11670.0,6170.0,201.0,
2011-04-04,,1980.0,,11750.0,6330.0,204.0,
2011-04-05,,1983.0,,11840.0,6350.0,210.0,
2011-04-06,,1998.0,,12100.0,6360.0,213.0,
2011-04-07,,1991.0,,12090.0,6430.0,212.0,
2011-04-08,,1994.0,,12180.0,6560.0,209.0,
2011-04-11,,1982.0,,12180.0,6700.0,216.0,
2011-04-12,,1942.0,,11910.0,6290.0,208.0,
2011-04-13,,1949.0,,11980.0,6220.0,203.0,
2011-04-14,,1944.0,,11920.0,6260.0,200.0,
2011-04-15,,1923.0,,11990.0,6290.0,196.0,
2011-04-18,,1925.0,,12010.0,6320.0,195.0,
2011-04-19,,1895.0,,11990.0,6160.0,202.0,
2011-04-20,,1933.0,,12120.0,6290.0,206.0,
2011-04-21,,1962.0,,12060.0,6370.0,205.0,
2011-04-22,,1957.0,,12050.0,6360.0,207.0,
2011-04-25,,1966.0,,12140.0,6440.0,212.0,
